행정동,주 소
제기동,서울 동대문구 무학로 184
제기동,서울 동대문구 왕산로 43길 74
제기동,서울 동대문구 홍릉로 10길 39
제기동,서울 동대문구 제기로 107
제기동,서울 동대문구 홍릉로24길 129
제기동,서울 동대문구 홍릉로24길 70
제기동,서울 동대문구 홍릉로22길 25-10
제기동,서울 동대문구 왕산로43길 30
제기동,서울 동대문구 왕산로43길 50
제기동,서울 동대문구 홍릉로8길 21-1
제기동,서울 동대문구 홍릉로 10-2
제기동,서울 동대문구 홍릉로 54
제기동,서울 동대문구 홍릉로12길 26-1
제기동,서울 동대문구 홍릉로12길 32-1
제기동,서울 동대문구 제기로20길 -4
청량리동,서울 동대문구 왕산로 291
청량리동,서울 동대문구 왕산로 283
청량리동,서울 동대문구 청량리동 11-18
청량리동,서울 동대문구 제기로37길 27
청량리동,서울 동대문구 제기로33길 7-12
청량리동,서울 동대문구 재가로31길 9-1
청량리동,서울 동대문구 왕산로43다길 10
청량리동,서울 동대문구 왕간로43나길 26
청량리동,서울 동대문구 왕산로36길 27
청량리동,서울 동대문구 왕산로43가길 43
청량리동,서울 동대문구 제기로38길 40
청량리동,서울 동대문구 왕산로43길 4
청량리동,서울 동대문구 왕산로43길 22
청량리동,서울 동대문구 왕산로43나길 10
청량리동,서울 동대문구 왕산로43길 74
청량리동,서울 동대문구 홍릉로10길 38
청량리동,서울 동대문구 제기로26길 2
청량리동,서울 동대문구 홍릉로 50
청량리동,서울 동대문구 홍릉로 47-6
청량리동,서울 동대문구 약령시로 133
청량리동,서울 동대문구 제기로 71-2
청량리동,서울 동대문구 제기로 65-1
청량리동,서울 동대문구 고산자로 530
청량리동,서울 동대문구 고산자로 54 길 78
청량리동,서울 동대문구 제기로 27
청량리동,서울 동대문구 고산자로 539-1
청량리동,서울 동대문구 고산자로 552
청량리동,서울 동대문구 고산자로62길 32
청량리동,서울 동대문구 고산자로60길 39
청량리동,서울 동대문구 회기로 16
청량리동,서울 동대문구 홍릉로 105-2
청량리동,서울 동대문구 홍릉로24길 109
청량리동,서울 동대문구 홍릉로24길 131
청량리동,서울 동대문구 홍릉로22길 25-7
회기동,서울 동대문구 회기로12나길 9
회기동,서울 동대문구 회기로12길 14-10
회기동,서울 동대문구 회기로12길 24
회기동,서울 동대문구 회기로12길 27-26
회기동,서울 동대문구 회기로12길7
회기동,서울 동대문구 회기로12길 5-4
회기동,서울 동대문구 회기로14길 6
회기동,서울 동대문구 회기로 117-2
회기동,서울 동대문구 경희대로4길 43
회기동,서울 동대문구 회기로25길 17-20
회기동,서울 동대문구 회기로 129
회기동,서울 동대문구 회기로25길 30
회기동,서울 동대문구 이문로9길 25-1
회기동,서울 동대문구 이문로9길 25-11
회기동,서울 동대문구 회기로23나길 20-44
회기동,서울 동대문구 경희대로 10
회기동,서울 동대문구 회기로26길 34
회기동,서울 동대문구 회기로26길 12
회기동,서울 동대문구 회기로26길 5-8
회기동,서울 동대문구 이문로3길 26
회기동,서울 동대문구 이문로 54
회기동,서울 동대문구 경희대로 3 길 2
회기동,서울 동대문구 이문로1길 33
회기동,서울 동대문구 회기로25길 54
회기동,서울 동대문구 회기로10길 37
회기동,서울 동대문구 회기로10길 49-53
회기동,서울 동대문구 회기로10길 61
회기동,서울 동대문구 회기로8길 20
회기동,서울 동대문구 경희대로3길 2
회기동,서울 동대문구 경희대로 41
회기동,서울 동대문구 제기로 38
휘경1동,서울 동대문구 휘경로 60 (휘경 SK뷰 앞)
휘경1동,서울 동대문구 휘경로 71
휘경1동,서울 동대문구 휘경로 43
휘경1동,서울 동대문구 휘경로16길 2
휘경1동,서울 동대문구 휘경로14길 9
휘경1동,서울 동대문구 이문로12길 41
휘경1동,서울 동대문구 망우로121
휘경1동,서울 동대문구 망우로 105 (휘경 미소지움 담)
휘경1동,서울 동대문구 망우로21가길 12
휘경1동,서울 동대문구 망우로21나길 14
휘경1동,서울 동대문구 망우로21나길 6
휘경1동,서울 동대문구 망우로21나길 52
휘경1동,서울 동대문구 망우로21길 26
휘경1동,서울 동대문구 망우로 138
휘경1동,서울 동대문구 망우로 41
휘경1동,서울 동대문구 망우로 29
휘경1동,서울 동대문구 망우로1길 1
휘경1동,서울 동대문구 망우로1길 5
휘경1동,서울 동대문구 이문로 8
휘경1동,서울 동대문구 이문로 16
휘경1동,서울 동대문구 회기로29길 21
휘경1동,서울 동대문구 이문로6길 5
휘경1동,서울 동대문구 이문로 50
휘경1동,서울 동대문구 이문로 58
휘경1동,서울 동대문구 회기로 58
휘경1동,서울 동대문구 회기로29길 59-8
휘경1동,서울 동대문구 이문로8길 37
휘경1동,서울 동대문구 회기로31길 1
휘경1동,서울 동대문구 휘경로31길 11
휘경1동,서울 동대문구 휘경로31길 27
휘경1동,서울 동대문구 휘경로31길 31
휘경1동,서울 동대문구 휘결로31길 45
휘경1동,서울 동대문구 이문로12길 66
휘경2동,서울 동대문구 외대역 동로 12
휘경2동,서울 동대문구 망우로20길86(브라운 스톤 내길 공원)
휘경2동,서울 동대문구 한천로53길(동성빌라)
휘경2동,서울 동대문구 한천로53길 45
휘경2동,서울 동대문구 한천로49길 44
휘경2동,서울 동대문구 한천로49길 30
휘경2동,서울 동대문구 한천로51길 10
휘경2동,서울 동대문구 한천로51길 32
휘경2동,서울 동대문구 한천로51길 40
휘경2동,서울 동대문구 한천로47길 43
휘경2동,서울 동대문구 동성 빌라 22동 앞
휘경2동,서울 동대문구 한천로51길 17-13
휘경2동,서울 동대문구 한천로49길 17
휘경2동,서울 동대문구 한천로49길 5
휘경2동,서울 동대문구 한천로47길 2
휘경2동,서울 동대문구 한천로42길 10
휘경2동,서울 동대문구 장안벚꽃로7길 12
휘경2동,서울 동대문구 장안벚꽃로34길
휘경2동,서울 동대문구 사가정로23나길 22
휘경2동,서울 동대문구 장안벚꽃로 333
휘경2동,서울 동대문구 망우로20가길 4
휘경2동,서울 동대문구 휘경동 255-5 (삼육병원 입구)
휘경2동,서울 동대문구 망우로18가길 7-3
휘경2동,서울 동대문구 망우로18가길 5-10
휘경2동,서울 동대문구 망우로18길 38 (킨더레스트 어학원 앞)
휘경2동,서울 동대문구 망우로18길 43
휘경2동,서울 동대문구 망우로18길 53
휘경2동,서울 동대문구 망우로18길 77
휘경2동,서울 동대문구 망우로18나길 39
휘경2동,서울 동대문구 망우로16길 58
휘경2동,서울 동대문구 망우로18라길 2
휘경2동,서울 동대문구 망우로18마길 24
휘경2동,서울 동대문구 망우로18나길 39
휘경2동,서울 동대문구 망우로18다길 38
휘경2동,서울 동대문구 망우로18다길 25
휘경2동,서울 동대문구 망우로18다길 14
휘경2동,서울 동대문구 망우로18가길 85-2
휘경2동,서울 동대문구 망우로18마길 4-19
휘경2동,서울 동대문구 망우로14가길 29-26
휘경2동,서울 동대문구 망우로14가길 19-9
휘경2동,서울 동대문구 망우로14가길 9-1
휘경2동,서울 동대문구 망우로12길 17
휘경2동,서울 동대문구 망우로12길 42
휘경2동,서울 동대문구 망우로12길33
휘경2동,서울 동대문구 망우로12길33( 공영주차장 옆)
휘경2동,서울 동대문구 망우로10길 21
휘경2동,서울 동대문구 망우로10가길15
휘경2동,서울 동대문구 망우로12나길 17-1
휘경2동,서울 동대문구 망우로12나길 17 뒤
휘경2동,서울 동대문구 망우로12나길 38
휘경2동,서울 동대문구 휘경동 295-103(새싹마을마당 공원)
휘경2동,서울 동대문구 망우로6길 38
휘경2동,서울 동대문구 시립대로29가길 45
휘경2동,서울 동대문구 시립대로29나길 10
휘경2동,서울 동대문구 망우로10길 60
휘경2동,서울 동대문구 망우로10길 54
휘경2동,서울 동대문구 전농로38길 80
휘경2동,서울 동대문구 전농로38길 98
휘경2동,서울 동대문구 망우로16길 58
휘경2동,서울 동대문구 망우로14길 18 앞
이문1동,서울 동대문구 휘경로 37 골목
이문1동,서울 동대문구 외대역동로 93
이문1동,서울 동대문구 휘경로17길 29
이문1동,서울 동대문구 휘경로11가길 11-2
이문1동,서울 동대문구 휘경로11가길 4-2
이문1동,서울 동대문구 외대역동로 104
이문1동,서울 동대문구 외대역동로 101
이문1동,서울 동대문구 외대역동로 111
이문1동,서울 동대문구 외대역동로 114-1 (이문1동주민센터 뒤)
이문1동,서울 동대문구 외대역동로 114-1 (이문1동주민센터)
이문1동,서울 동대문구 외대역동로 123
이문1동,서울 동대문구 외대역동로 128-2(중간)
이문1동,서울 동대문구 외대역동로 32길 1
이문1동,서울 동대문구 한천로 421
이문1동,서울 동대문구 한천로 417
이문1동,서울 동대문구 한천로55길 9
이문1동,서울 동대문구 휘경로31길 37
이문1동,서울 동대문구 휘경로31길 27
이문1동,서울 동대문구 휘경로31길 20
이문1동,서울 동대문구 이문로 178 (건너)
이문1동,서울 동대문구 이문로 147
이문1동,서울 동대문구 이문로 133 (이문동 우체국)
이문1동,서울 동대문구 새마을 금고 앞
이문1동,서울 동대문구 이문로17길 11
이문1동,서울 동대문구 이문로9길 8
이문1동,서울 동대문구 이문로 66
이문1동,서울 동대문구 이문로 80
이문1동,서울 동대문구 이문로 90
이문1동,서울 동대문구 휘경로2길 28
이문1동,서울 동대문구 이문로16길 35
이문1동,서울 동대문구 이문로16길 47
이문1동,서울 동대문구 휘경로10길 38
이문1동,서울 동대문구 휘경로10길 28
이문1동,서울 동대문구 휘경로10길 22
이문1동,서울 동대문구 휘경로 26-7
이문1동,서울 동대문구 휘경로15(맥도날드 뒤 외대역)
이문1동,서울 동대문구 이문로 118
이문1동,서울 동대문구 이문로 136
이문1동,서울 동대문구 이문로25길 11
이문1동,서울 동대문구 이문로25길 22-1
이문1동,서울 동대문구 회기로25길 128
이문1동,서울 동대문구 이문로9길 35
이문1동,서울 동대문구 이문로9길 52
이문1동,서울 동대문구 이문로9길 74
이문1동,서울 동대문구 이문로9길 84
이문1동,서울 동대문구 이문로9길 89
이문1동,서울 동대문구 이문로9길 103
이문1동,서울 동대문구 이문로9길 105-4
이문1동,서울 동대문구 이문로9길 105-17
이문1동,서울 동대문구 이문로9가길 5-14
이문1동,서울 동대문구 이문로9가길 13
이문1동,서울 동대문구 이문로9길 115
이문1동,서울 동대문구 이문로9길 123
이문1동,서울 동대문구 천장산로7길 16
이문1동,서울 동대문구 이문로9나길 19
이문1동,서울 동대문구 천장산로7길 48
이문1동,서울 동대문구 천장산로7길 56
이문1동,서울 동대문구 천장산로9길 28
이문1동,서울 동대문구 천장산로9길 17
이문1동,서울 동대문구 천장산로7길 8-2
이문1동,서울 동대문구 천장산로 31
이문1동,서울 동대문구 천장산로 39
이문1동,서울 동대문구 천장산로11길 36
이문1동,서울 동대문구 천장산로4길 36-1
이문1동,서울 동대문구 천장산로4길 36-1
이문1동,서울 동대문구 천장산로 24
이문1동,서울 동대문구 천장산로 3-1
이문2동,서울 동대문구 이문로 156
이문2동,서울 동대문구 신이문로6길 143
이문2동,서울 동대문구 신이문로4길 46
이문2동,서울 동대문구 이문로 156
이문2동,서울 동대문구 외대역동로 133-1
이문2동,서울 동대문구 한천로 445
이문2동,서울 동대문구 한천로 452
이문2동,서울 동대문구 이문로42길 91
이문2동,서울 동대문구 이문로42길 73
이문2동,서울 동대문구 신이문로12길 67-9
이문2동,서울 동대문구 이문로46길 40
이문2동,서울 동대문구 이문로46길 25
이문2동,서울 동대문구 신이문로 10
이문2동,서울 동대문구 신이문로 28
이문2동,서울 동대문구 신이문로 34(이문역 공영주차장)
이문2동,서울 동대문구 신이문로 43-1
이문2동,서울 동대문구 신이문로 39
이문2동,서울 동대문구 신이문로 27-12
이문2동,서울 동대문구 한천로63길 17
이문2동,서울 동대문구 한천로63길 5
이문2동,서울 동대문구 신이문로 17
이문2동,서울 동대문구 신이문로9( 금호 어울림 담)
이문2동,서울 동대문구 이문로 196-117
이문2동,서울 동대문구 이문로50길 22
이문2동,서울 동대문구 신이문로 3
이문2동,서울 동대문구 화랑로32길 183
